,Local_Active,Local_New,Local_Incidence,FL_Active,FL_New,FL_Incidence,Test_Rate,Holidays,Beaches,Bars,Safer_At_Home,Restaurants,METier,Masks
70,141,17,30.92105263157895,9267.0,735.0,43.142458100558656,4755.384610585371,9,0,14,0,7,5,14
71,139,11,30.48245614035088,9478.0,658.0,44.12476722532588,4844.085761921751,10,0,14,0,7,5,14
72,123,5,26.97368421052632,9542.0,547.0,44.422718808193665,4887.628524364555,11,0,14,0,7,5,14
73,125,3,27.412280701754387,9667.0,1281.0,45.0046554934823,5032.713642037799,12,0,13,0,7,4,14
74,129,12,28.289473684210527,10315.0,1378.0,48.02141527001862,5154.374504166804,13,0,12,0,7,4,14
75,128,14,28.070175438596493,10934.0,1252.0,50.90316573556797,5284.2624900379415,14,0,11,0,7,4,14
76,134,10,29.385964912280706,11440.0,1242.0,53.25884543761639,5466.986582431846,14,0,10,0,7,4,14
77,141,10,30.92105263157895,11744.0,1168.0,54.67411545623836,5662.412199199572,14,0,9,0,7,4,14
78,149,10,32.67543859649123,12196.0,954.0,56.778398510242084,5748.045057074682,0,0,8,0,7,4,14
79,124,8,27.192982456140353,12920.0,1043.0,60.14897579143389,5858.6479571846885,0,0,7,0,7,4,14
80,139,16,30.48245614035088,13649.0,1335.0,63.542830540037244,5955.110633862403,0,0,7,0,7,4,14
81,148,25,32.4561403508772,14137.0,1651.0,65.8147113594041,6084.197790484165,0,0,7,0,7,4,14
82,164,23,35.96491228070176,15117.0,1873.0,70.37709497206704,6219.924380301331,0,0,7,0,7,4,14
83,161,14,35.30701754385965,16915.0,2533.0,78.74767225325884,6380.621012353397,0,0,7,0,7,4,14
84,175,25,38.377192982456144,18267.0,2010.0,85.04189944134077,6560.351307030159,0,0,7,0,7,4,14
85,179,9,39.25438596491228,19471.0,1751.0,90.64711359404096,6658.913832495481,0,0,7,0,7,4,14
86,189,13,41.44736842105264,20918.0,2728.0,97.38361266294227,6799.175350736439,0,0,7,0,7,4,14
87,197,20,43.20175438596492,22125.0,2585.0,103.00279329608938,6917.670143740003,0,0,7,0,7,4,14
88,212,29,46.491228070175445,24037.0,3164.0,111.90409683426442,7036.644503096391,0,0,7,0,7,4,14
89,246,44,53.94736842105264,26574.0,3779.0,123.71508379888267,7137.022862324834,0,0,7,0,7,4,14
90,264,28,57.89473684210527,29415.0,4009.0,136.9413407821229,7269.257464136002,0,0,7,0,7,4,14
91,265,11,58.1140350877193,31938.0,3477.0,148.6871508379888,7446.296600056143,0,0,7,0,7,4,14
92,289,32,63.377192982456144,33809.0,2914.0,157.39757914338918,7530.993605145644,0,0,7,0,7,4,14
93,295,22,64.69298245614036,35695.0,3221.0,166.1778398510242,7639.315073091732,0,0,7,0,7,4,14
94,317,47,69.51754385964912,39512.0,5468.0,183.94785847299812,7767.7736718724145,0,0,7,0,7,4,14
95,384,90,84.21052631578948,42597.0,4958.0,198.31005586592178,8011.290947458758,0,0,7,0,7,4,14
